Lp.,Województwo,Ogółem,Mężczyźni,Kobiety
1,MAZOWIECKIE,5349114,2559241,2789873
2,ŚLĄSKIE,4570849,2204972,2365877
3,WIELKOPOLSKIE,3475323,1690930,1784393
4,MAŁOPOLSKIE,3372618,1636707,1735911
5,DOLNOŚLĄSKIE,2904207,1396318,1507889
6,ŁÓDZKIE,2493603,1188118,1305485
7,POMORSKIE,2307710,1124377,1183333
8,LUBELSKIE,2139726,1037052,1102674
9,PODKARPACKIE,2127657,1041779,1085878
10,KUJAWSKO-POMORSKIE,2086210,1010973,1075237
11,ZACHODNIOPOMORSKIE,1710482,832293,878189
12,WARMIŃSKO-MAZURSKIE,1439675,704893,734782
13,ŚWIĘTOKRZYSKIE,1257179,613217,643962
14,PODLASKIE,1188800,579499,609301
15,LUBUSKIE,1018075,495674,522401
16,OPOLSKIE,996011,481948,514063
